Date,Open,High,Low,Close,Adj Close,Volume
2021-04-09,23.059999,23.799999,22.6,23.34,23.34,7318000
2021-04-08,22.5,23.33,22.35,23.290001,23.290001,6787100
2021-04-07,22.549999,22.959999,22.23,22.379999,22.379999,6431500
2021-04-06,22.35,22.93,22.049999,22.530001,22.530001,6821600
2021-04-05,22.209999,22.620001,21.969999,22.6,22.6,7890400
2021-04-01,21.76,22.25,21.639999,21.68,21.68,7234900
2021-03-31,22.360001,22.360001,21.440001,21.51,21.51,9439000
2021-03-30,20.530001,22.440001,20.5,22.33,22.33,14541700
2021-03-29,20.51,21.299999,20.43,20.57,20.57,9202900
2021-03-26,21.27,21.450001,20.32,20.66,20.66,9671000
